Users,ItemID1,ItemID2,ItemID3,ItemID4,ItemID5,ItemID6,ItemID7,ItemID8,ItemID9,ItemID10,ItemID11,ItemID12,ItemID13,ItemID14,ItemID15,ItemID16,ItemID17,ItemID18,ItemID19,ItemID20,ItemID21,ItemID22,ItemID23,ItemID24,ItemID25,ItemID26,ItemID27,ItemID28,ItemID29,ItemID30,ItemID31,ItemID32,ItemID33,ItemID34,ItemID35,ItemID36,ItemID37,ItemID38,ItemID39,ItemID40,ItemID41,ItemID42,ItemID43,ItemID44,ItemID45,ItemID46,ItemID47,ItemID48,ItemID49,ItemID50,ItemID51,ItemID52,ItemID53,ItemID54,ItemID55,ItemID56,ItemID57,ItemID58,ItemID59,ItemID60,ItemID61,ItemID62,ItemID63,ItemID64,ItemID65,ItemID66,ItemID67,ItemID68,ItemID69,ItemID70,ItemID71,ItemID72,ItemID73,ItemID74,ItemID75,ItemID76,ItemID77,ItemID78,ItemID79,ItemID80,ItemID81,ItemID82,ItemID83,ItemID84,ItemID85,ItemID86,ItemID87,ItemID88,ItemID89,ItemID90,ItemID91,ItemID92,ItemID93,ItemID94,ItemID95,ItemID96,ItemID97,ItemID98,ItemID99,ItemID100
UserID1,2,4,3,,4,,4,1,,,1,4,3,3,3,1,4,4,4,,,1,2,2,2,3,4,4,1,1,1,,1,,1,1,1,1,2,1,4,4,,4,,,3,2,1,4,3,1,4,3,,2,4,2,3,3,4,,2,2,2,4,1,2,,,1,,2,3,1,4,4,3,2,,3,4,4,4,3,2,3,1,1,,,,,1,,2,3,,1,
UserID2,,3,1,,4,4,4,,2,4,2,1,3,2,4,3,1,,3,1,4,3,,2,2,2,2,3,1,,4,2,1,3,3,4,3,4,1,,2,3,4,2,4,3,1,4,4,,1,4,,2,1,2,3,2,,1,,3,2,,2,4,3,2,1,4,1,1,3,,2,,4,4,1,2,1,3,2,3,3,1,4,,3,2,1,,2,3,,,3,3,3,1
UserID3,3,,4,3,3,,1,2,2,2,3,4,,2,4,4,2,2,,2,4,4,,3,,2,1,2,,,4,4,2,1,,4,3,3,,3,2,1,4,,1,2,4,4,3,1,2,2,1,,2,2,,2,,2,3,,1,3,2,2,2,3,,,1,3,,4,,2,2,4,4,2,1,3,1,2,3,1,,2,,,4,2,,3,,3,2,3,4,2
UserID4,4,2,1,3,2,1,1,3,3,4,3,4,2,2,,2,3,,1,1,1,4,2,1,2,3,1,,,2,,3,,1,2,3,1,2,,2,4,,,1,1,3,4,,,1,3,3,3,3,1,1,,2,4,1,1,1,2,,3,1,,,2,1,2,2,2,3,2,2,4,,3,4,2,3,3,3,,4,2,2,,2,,3,1,,3,1,3,4,3,3
UserID5,,3,3,2,3,1,3,4,,,4,,2,3,3,,2,3,3,2,,3,2,2,,,3,,2,4,3,,,,,1,4,1,2,1,,,3,3,1,1,1,2,2,4,4,1,,,2,3,2,,,2,3,,3,3,2,,3,2,2,4,3,,3,3,4,2,2,3,1,2,,2,1,3,2,1,,1,2,4,,4,4,4,,,2,4,3,2
UserID6,2,,4,3,2,1,2,3,2,2,4,1,,2,1,1,3,4,3,2,,,4,2,4,3,,,1,1,1,4,2,,1,,,4,1,,2,,1,2,4,1,1,3,1,3,,1,2,4,2,2,,3,1,1,3,,3,3,,3,1,4,1,,1,,4,3,3,1,1,2,2,,2,1,,2,4,3,4,1,1,1,,3,,,2,3,1,1,1,4
UserID7,3,3,3,,3,4,1,3,3,2,4,3,4,2,2,2,4,4,4,2,3,4,,3,4,1,1,2,3,1,4,3,4,3,2,4,1,3,4,4,1,2,3,3,2,1,4,,4,3,,4,,,3,3,1,,3,,1,4,4,2,1,4,1,2,,,1,1,2,1,,,1,3,3,,1,1,3,1,3,2,4,3,,1,4,3,2,,2,3,2,1,,4
UserID8,4,1,2,,3,4,2,3,2,,3,,2,3,,4,3,4,,1,,3,2,2,1,4,3,3,4,4,4,1,,3,2,4,2,4,,1,2,,,4,,4,,,4,1,1,,,2,2,1,2,3,4,4,,4,1,,3,3,2,3,4,1,4,4,,4,3,1,,3,4,1,4,3,2,1,1,2,,4,4,3,4,,1,,3,2,3,2,1,4
UserID9,3,1,4,1,,1,3,3,1,,1,2,1,,4,1,1,,1,4,2,,3,2,1,2,3,2,3,1,,2,3,4,4,4,2,2,1,,1,1,2,1,4,4,3,1,2,4,,2,,4,4,3,2,4,2,1,4,4,3,,,1,,1,3,4,,4,,3,2,3,1,4,,3,4,3,1,,2,4,3,4,4,4,2,2,4,2,4,2,2,,,
UserID10,,2,4,1,3,4,3,4,2,2,1,4,4,4,,,2,3,2,4,3,,2,4,2,,,1,2,3,2,3,3,1,4,3,3,4,2,2,3,1,4,1,,1,2,1,1,1,3,1,4,3,,4,2,,2,3,3,3,2,,,,2,4,1,3,3,,1,2,2,1,,3,1,,1,2,2,2,3,3,,2,4,2,2,4,1,1,4,2,3,3,2,2
